prompt,status,response
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,The flight plane <MASKED_FLIGHT_NUM> is departing at <MASKED_FLIGHT_TIME> without delay.
Can you verify if flight <MASKED_FLIGHT_NUM> is still on time?,ON_TIME,The flight carrier <MASKED_FLIGHT_NUM> is scheduled to depart on time at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on time?,DEPARTED,plane <MASKED_FLIGHT_NUM> is on its way.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,DELAYED,"Unfortunately, airline <MASKED_FLIGHT_NUM> will now depart at <MASKED_FLIGHT_TIME> due to a delay."
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,DEPARTED,service <MASKED_FLIGHT_NUM> is already in flight.
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,BOARDING,The gate for carrier <MASKED_FLIGHT_NUM> is now open for passengers to board.
Do you have any updates about service <MASKED_FLIGHT_NUM>?,BOARDING,Boarding has begun for carrier <MASKED_FLIGHT_NUM> at gate boarding gate.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,Good news! plane <MASKED_FLIGHT_NUM> is departing as planned at <MASKED_FLIGHT_TIME>.
Is service <MASKED_FLIGHT_NUM> expected to leave on time?,CANCELLED,"Unfortunately, service <MASKED_FLIGHT_NUM> is cancelled. Please contact customer service to make alternative travel arrangements."
Is service <MASKED_FLIGHT_NUM> expected to leave on time?,DELAYED,We apologize for the delay of jet <MASKED_FLIGHT_NUM>. The new time of departure is <MASKED_FLIGHT_TIME>.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",ON_TIME,"Still scheduled, jet <MASKED_FLIGHT_NUM> is on time for <MASKED_FLIGHT_TIME>."
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,ON_TIME,"Good news! flight <MASKED_FLIGHT_NUM> has no changes to its schedule, leaving at <MASKED_FLIGHT_TIME>."
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,DEPARTED,jet <MASKED_FLIGHT_NUM> has taken off and is now airborne.
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,DEPARTED,The flight airline <MASKED_FLIGHT_NUM> has already left and is en route.
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,DELAYED,Travel update: A delay affects plane <MASKED_FLIGHT_NUM>. Revised time: <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,DELAYED,We apologize for the delay. airline <MASKED_FLIGHT_NUM> is now scheduled for <MASKED_FLIGHT_TIME>.
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,CANCELLED,"We apologize for the inconvenience, but aircraft <MASKED_FLIGHT_NUM> has been cancelled. Contact customer service for assistance."
Is airplane <MASKED_FLIGHT_NUM> still on time?,BOARDING,Flight plane <MASKED_FLIGHT_NUM> is now accepting passengers for boarding at gate departure gate.
Can you confirm that service <MASKED_FLIGHT_NUM> is departing on schedule?,DELAYED,plane <MASKED_FLIGHT_NUM> is delayed. Apologies for the inconvenience. New departure time: <MASKED_FLIGHT_TIME>.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,BOARDING,airline <MASKED_FLIGHT_NUM> is boarding passengers. Departure remains at <MASKED_FLIGHT_TIME>.
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,ON_TIME,Everything is on track for carrier <MASKED_FLIGHT_NUM>. Departure is at <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,BOARDING,Now boarding passengers at gate entryway for service <MASKED_FLIGHT_NUM>.
Can you confirm if flight <MASKED_FLIGHT_NUM> is running as scheduled?,DELAYED,"Unfortunately, there’s a delay for jet <MASKED_FLIGHT_NUM>. Departure is now at <MASKED_FLIGHT_TIME>."
Can you confirm that plane <MASKED_FLIGHT_NUM> is running as scheduled?,DEPARTED,Flight service <MASKED_FLIGHT_NUM> has already taken off.
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,We regret to inform you that plane <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer support to explore options.
What’s the current status of flight <MASKED_FLIGHT_NUM>?,DEPARTED,Flight carrier <MASKED_FLIGHT_NUM> has taken off and is heading to the destination.
What’s the current departure status of flight <MASKED_FLIGHT_NUM>?,CANCELLED,Cancellation notice: plane <MASKED_FLIGHT_NUM> is not flying. Contact support.
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,DEPARTED,Flight carrier <MASKED_FLIGHT_NUM> is already on its way to the airport's destination.
Can you confirm if flight <MASKED_FLIGHT_NUM> is running as scheduled?,BOARDING,The flight flight <MASKED_FLIGHT_NUM> is in the boarding process at gate flight access point.
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,DEPARTED,airline <MASKED_FLIGHT_NUM> has departed and is en route.
What’s the current status of flight <MASKED_FLIGHT_NUM>?,CANCELLED,"We're sorry, but carrier <MASKED_FLIGHT_NUM> is no longer operating. Please contact us for more information on your travel options."
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,DELAYED,"Apologies, but plane <MASKED_FLIGHT_NUM> is delayed. The updated departure time is <MASKED_FLIGHT_TIME>."
Can you provide the current status of flight <MASKED_FLIGHT_NUM>?,DEPARTED,The flight plane <MASKED_FLIGHT_NUM> is on its way.
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,BOARDING,Boarding for flight <MASKED_FLIGHT_NUM> is available now.
What’s the latest update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,"Your flight, carrier <MASKED_FLIGHT_NUM>, is confirmed to depart at <MASKED_FLIGHT_TIME> without any delays."
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,DEPARTED,airplane <MASKED_FLIGHT_NUM> has departed and is heading to its destination.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",DELAYED,airplane <MASKED_FLIGHT_NUM> has been delayed. The revised time of departure is <MASKED_FLIGHT_TIME>.
What’s the latest on flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,"Unfortunately, airline <MASKED_FLIGHT_NUM> is delayed. Updated departure time: <MASKED_FLIGHT_TIME>."
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,ON_TIME,Your flight airplane <MASKED_FLIGHT_NUM> is leaving as planned at <MASKED_FLIGHT_TIME>.
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,BOARDING,Please proceed to gate boarding station to board aircraft <MASKED_FLIGHT_NUM>.
Has there been a schedule change for airplane <MASKED_FLIGHT_NUM>?,ON_TIME,"Your flight, airplane <MASKED_FLIGHT_NUM>, is on time and scheduled to depart at <MASKED_FLIGHT_TIME>."
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",CANCELLED,"Sadly, plane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for further assistance."
Is flight <MASKED_FLIGHT_NUM> currently running on time?,DELAYED,"Unfortunately, flight <MASKED_FLIGHT_NUM> is delayed. Please expect departure at <MASKED_FLIGHT_TIME>."
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"Unfortunately, aircraft <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer service to explore rebooking options."
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"Sadly, aircraft <MASKED_FLIGHT_NUM> will not be departing. Please reach out to customer service for help with rebooking.We're sorry, but aircraft <MASKED_FLIGHT_NUM> has been cancelled. Please contact our support team for rebooking options."
What’s the current update for service <MASKED_FLIGHT_NUM>?,BOARDING,The boarding gates are now open for flight <MASKED_FLIGHT_NUM> at gate entry gate.
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,airplane <MASKED_FLIGHT_NUM> continues to stay on time and departs at <MASKED_FLIGHT_TIME>.
Can you check if airplane <MASKED_FLIGHT_NUM> is leaving as planned?,ON_TIME,Everything looks great! airline <MASKED_FLIGHT_NUM> is scheduled to leave at <MASKED_FLIGHT_TIME>.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,CANCELLED,We regret to inform you that service <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for assistance with rebooking.
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,BOARDING,Please head to gate boarding station for service <MASKED_FLIGHT_NUM> boarding.
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,CANCELLED,"Unfortunately, service <MASKED_FLIGHT_NUM> is cancelled. Please contact support to help you with rebooking."
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,You’re all set! carrier <MASKED_FLIGHT_NUM> will depart at <MASKED_FLIGHT_TIME> as planned.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,CANCELLED,We are sorry to report that aircraft <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service for assistance with rebooking.
Is aircraft <MASKED_FLIGHT_NUM> still departing as planned?,DEPARTED,The flight jet <MASKED_FLIGHT_NUM> has already left for its destination.
What’s the current update for service <MASKED_FLIGHT_NUM>?,ON_TIME,"airline <MASKED_FLIGHT_NUM> is on time, leaving at <MASKED_FLIGHT_TIME> as planned."
Can you confirm if the aircraft <MASKED_FLIGHT_NUM> is running as planned?,DELAYED,carrier <MASKED_FLIGHT_NUM> is delayed. The updated departure time is <MASKED_FLIGHT_TIME>.
Can you check if the plane <MASKED_FLIGHT_NUM> is on schedule today?,ON_TIME,The flight airplane <MASKED_FLIGHT_NUM> is on time for departure at <MASKED_FLIGHT_TIME>.
Is service <MASKED_FLIGHT_NUM> expected to leave on time?,CANCELLED,We regret to inform you that service <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with our customer support team for more details.
Is aircraft <MASKED_FLIGHT_NUM> still leaving on time today?,DEPARTED,airline <MASKED_FLIGHT_NUM> is en route to its destination.
Is the airplane <MASKED_FLIGHT_NUM> confirmed to depart as planned?,BOARDING,The flight plane <MASKED_FLIGHT_NUM> has begun boarding.
Is service <MASKED_FLIGHT_NUM> expected to leave on time?,DELAYED,flight <MASKED_FLIGHT_NUM> has been delayed. The updated time is <MASKED_FLIGHT_TIME>. Thank you for your patience.
Can I get a confirmation that service <MASKED_FLIGHT_NUM> is on time?,DELAYED,There’s a delay with aircraft <MASKED_FLIGHT_NUM>. The new departure time is <MASKED_FLIGHT_TIME>.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,ON_TIME,We’re pleased to let you know that flight <MASKED_FLIGHT_NUM> is on time and leaving at <MASKED_FLIGHT_TIME>.
Can you provide the current status of flight <MASKED_FLIGHT_NUM>?,ON_TIME,Everything looks great for service <MASKED_FLIGHT_NUM>. It will depart at <MASKED_FLIGHT_TIME>.
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, airplane <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with our customer service team to arrange another flight."
Can you tell me if service <MASKED_FLIGHT_NUM> is running on time?,ON_TIME,Your flight aircraft <MASKED_FLIGHT_NUM> is still on time and scheduled to depart at <MASKED_FLIGHT_TIME>.
What’s the latest update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,The boarding gate for aircraft <MASKED_FLIGHT_NUM> is open and boarding has begun.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,CANCELLED,We regret that carrier <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with our team to arrange a new flight.
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,DEPARTED,aircraft <MASKED_FLIGHT_NUM> has departed and is on route to the destination.
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,BOARDING,Now boarding for jet <MASKED_FLIGHT_NUM> at gate departure gate.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,DEPARTED,The flight service <MASKED_FLIGHT_NUM> has already departed and is currently en route.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,DELAYED,A flight delay for plane <MASKED_FLIGHT_NUM> has been reported. Please plan for <MASKED_FLIGHT_TIME> departure.
Can you confirm if flight <MASKED_FLIGHT_NUM> is running as scheduled?,BOARDING,Boarding has begun for airline <MASKED_FLIGHT_NUM> at gate boarding area.
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,DEPARTED,Flight carrier <MASKED_FLIGHT_NUM> is already on its way to its destination.
Do you know the current departure time for service <MASKED_FLIGHT_NUM>?,DEPARTED,Flight flight <MASKED_FLIGHT_NUM> is on its way and has already left.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,airline <MASKED_FLIGHT_NUM> is already on its way to its destination.
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,BOARDING,Passengers are boarding now for carrier <MASKED_FLIGHT_NUM> at gate airside gate.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,CANCELLED,"Unfortunately, carrier <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with our customer service team to arrange another flight."
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,ON_TIME,"Your flight, aircraft <MASKED_FLIGHT_NUM>, is on time and ready to depart at <MASKED_FLIGHT_TIME>."
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,CANCELLED,"Unfortunately, carrier <MASKED_FLIGHT_NUM> is cancelled. Please speak with customer service for help with rescheduling."
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,DEPARTED,carrier <MASKED_FLIGHT_NUM> has taken off and is in the air.
What’s the current status of flight <MASKED_FLIGHT_NUM>?,CANCELLED,service <MASKED_FLIGHT_NUM> is no longer operating. Contact support for next steps.
Can you verify if plane <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,A delay is affecting airplane <MASKED_FLIGHT_NUM>. The new departure time is <MASKED_FLIGHT_TIME>.
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,DELAYED,"Regrettably, aircraft <MASKED_FLIGHT_NUM> is delayed. It will leave at <MASKED_FLIGHT_TIME>."
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,BOARDING,The flight flight <MASKED_FLIGHT_NUM> is now boarding passengers at gate boarding zone.
What’s the latest on flight <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,The flight flight <MASKED_FLIGHT_NUM> has already departed and is heading to its destination.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,BOARDING,The gate for flight <MASKED_FLIGHT_NUM> is now open for boarding.
What’s the current update for service <MASKED_FLIGHT_NUM>?,DEPARTED,service <MASKED_FLIGHT_NUM> is currently en route to its destination.
What’s the current update for service <MASKED_FLIGHT_NUM>?,ON_TIME,The flight airplane <MASKED_FLIGHT_NUM> will leave exactly at <MASKED_FLIGHT_TIME> as planned.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,DELAYED,The flight service <MASKED_FLIGHT_NUM> is delayed. It will depart at <MASKED_FLIGHT_TIME>.
Can you check if the airplane <MASKED_FLIGHT_NUM> is on schedule?,CANCELLED,"Apologies, but carrier <MASKED_FLIGHT_NUM> will not be operating. Please contact customer service for alternate flight options."
Do you know the current departure time for service <MASKED_FLIGHT_NUM>?,DELAYED,"Your flight, plane <MASKED_FLIGHT_NUM>, is delayed. The new departure time is <MASKED_FLIGHT_TIME>."
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,aircraft <MASKED_FLIGHT_NUM> has been delayed. The revised departure is now <MASKED_FLIGHT_TIME>.
What’s the update on flight <MASKED_FLIGHT_NUM>? Is it on schedule?,DELAYED,A delayed schedule is in effect for plane <MASKED_FLIGHT_NUM>. The new time is <MASKED_FLIGHT_TIME>.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,BOARDING,The flight airline <MASKED_FLIGHT_NUM> has begun boarding at gate gate position.
Can you tell me if service <MASKED_FLIGHT_NUM> is running on time?,CANCELLED,"We apologize, but carrier <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer service for your next steps."
Is service <MASKED_FLIGHT_NUM> expected to leave on time?,DELAYED,The status of carrier <MASKED_FLIGHT_NUM> is delayed. It will now depart at <MASKED_FLIGHT_TIME>.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,DELAYED,The flight jet <MASKED_FLIGHT_NUM> is delayed. Scheduled departure is now <MASKED_FLIGHT_TIME>.
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,CANCELLED,"Apologies, but aircraft <MASKED_FLIGHT_NUM> will not depart as planned. Please contact us for rebooking options."
Can you verify if plane <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,A delay has affected jet <MASKED_FLIGHT_NUM>. Departure is rescheduled for <MASKED_FLIGHT_TIME>.
